X,Y,Z
# Scan parameters: Height: 100cm, Layer height: 0.50cm
# Data points below:
-2.185,5.649,0.000
-2.224,5.682,0.000
-2.236,5.648,0.000
-2.262,5.648,0.000
-2.284,5.639,0.000
-2.296,5.605,0.000
-2.328,5.620,0.000
-2.350,5.611,0.000
-2.369,5.594,0.000
-2.398,5.601,0.000
-2.609,6.028,0.000
-2.434,5.566,0.000
-2.659,6.015,0.000
-2.482,5.554,0.000
-2.485,5.504,0.000
-2.730,5.983,0.000
-2.543,5.517,0.000
-2.780,5.968,0.000
-2.790,5.929,0.000
-2.597,5.462,0.000
-2.626,5.468,0.000
-2.651,5.466,0.000
-2.665,5.439,0.000
-2.923,5.908,0.000
-2.711,5.426,0.000
-2.905,5.757,0.000
-2.750,5.397,0.000
-2.771,5.386,0.000
-2.784,5.359,0.000
-2.813,5.364,0.000
-2.822,5.329,0.000
-2.859,5.350,0.000
-2.876,5.330,0.000
-2.893,5.311,0.000
-2.935,5.339,0.000
-3.172,5.716,0.000
-2.968,5.300,0.000
-3.083,5.455,0.000
-3.027,5.307,0.000
-3.285,5.706,0.000
-3.038,5.230,0.000
-3.325,5.674,0.000
-3.092,5.229,0.000
-3.370,5.647,0.000
-3.156,5.242,0.000
-3.163,5.207,0.000
-3.202,5.225,0.000
-3.185,5.152,0.000
-3.455,5.540,0.000
-3.481,5.533,0.000
-3.245,5.114,0.000
-3.446,5.383,0.000
-3.290,5.096,0.000
-3.563,5.471,0.000
-3.606,5.490,0.000
-3.345,5.049,0.000
-3.380,5.058,0.000
-3.671,5.447,0.000
-3.399,5.002,0.000
-3.424,4.996,0.000
-3.444,4.983,0.000
-3.760,5.395,0.000
-3.488,4.963,0.000
-3.793,5.353,0.000
-3.527,4.935,0.000
-3.849,5.342,0.000
-3.597,4.950,0.000
-3.886,5.305,0.000
-3.625,4.908,0.000
-3.639,4.886,0.000
-3.669,4.886,0.000
-3.677,4.858,0.000
-3.990,5.228,0.000
-3.710,4.822,0.000
-3.761,4.849,0.000
-3.748,4.792,0.000
-3.794,4.812,0.000
-3.791,4.770,0.000
-3.804,4.748,0.000
-3.828,4.740,0.000
-3.852,4.732,0.000
-4.162,5.071,0.000
-3.895,4.708,0.000
-3.924,4.706,0.000
-4.262,5.070,0.000
-3.916,4.621,0.000
-4.276,5.007,0.000
-3.975,4.617,0.000
-4.320,4.979,0.000
-4.017,4.592,0.000
-4.328,4.909,0.000
-4.053,4.561,0.000
-4.059,4.532,0.000
-4.407,4.881,0.000
-4.082,4.486,0.000
-4.450,4.852,0.000
-4.142,4.480,0.000
-4.153,4.458,0.000
-4.491,4.782,0.000
-4.194,4.431,0.000
-4.534,4.753,0.000
-4.198,4.366,0.000
-4.227,4.362,0.000
-4.257,4.358,0.000
-4.262,4.329,0.000
-4.598,4.635,0.000
-4.289,4.289,0.000
-4.293,4.260,0.000
-4.316,4.249,0.000
-4.333,4.232,0.000
-4.350,4.215,0.000
-4.385,4.216,0.000
-4.395,4.193,0.000
-4.399,4.164,0.000
-4.422,4.152,0.000
-4.470,4.165,0.000
-4.454,4.117,0.000
-4.835,4.434,0.000
-4.473,4.070,0.000
-4.933,4.454,0.000
-4.525,4.053,0.000
-4.548,4.041,0.000
-4.557,4.017,0.000
-4.586,4.011,0.000
-4.955,4.300,0.000
-4.597,3.957,0.000
-4.995,4.266,0.000
-4.641,3.933,0.000
-5.105,4.291,0.000
-4.679,3.902,0.000
-4.667,3.861,0.000
-4.682,3.842,0.000
-4.697,3.824,0.000
-4.712,3.806,0.000
-4.727,3.787,0.000
