X,Y,Z
# Scan parameters: Height: 20cm, Layer height: 0.50cm
# Data points below:
-2.289,0.794,0.000
-2.081,0.713,0.000
-2.092,0.707,0.000
-2.095,0.699,0.000
-2.090,0.688,0.000
-2.100,0.682,0.000
-2.299,0.737,0.000
-2.106,0.666,0.000
-2.124,0.663,0.000
-2.103,0.647,0.000
-2.113,0.641,0.000
-2.100,0.628,0.000
-2.126,0.627,0.000
-2.129,0.618,0.000
-2.139,0.612,0.000
-2.085,0.588,0.000
-2.136,0.593,0.000
-2.329,0.637,0.000
-2.189,0.590,0.000
-2.357,0.625,0.000
-2.137,0.558,0.000
-2.346,0.602,0.000
-2.357,0.595,0.000
-2.143,0.532,0.000
-2.145,0.524,0.000
-2.147,0.516,0.000
-2.141,0.505,0.000
-2.344,0.543,0.000
-2.194,0.499,0.000
-2.172,0.485,0.000
-2.358,0.517,0.000
-2.159,0.465,0.000
-2.161,0.456,0.000
-2.332,0.483,0.000
-2.164,0.439,0.000
-2.463,0.490,0.000
-2.176,0.424,0.000
-2.145,0.409,0.000
-2.253,0.421,0.000
-2.172,0.397,0.000
-2.182,0.390,0.000
-2.208,0.385,0.000
-2.372,0.404,0.000
-2.430,0.404,0.000
-2.399,0.390,0.000
-2.173,0.344,0.000
-2.216,0.342,0.000
-2.380,0.358,0.000
-2.185,0.320,0.000
-2.170,0.309,0.000
-2.196,0.304,0.000
-2.377,0.319,0.000
-2.206,0.288,0.000
-2.191,0.277,0.000
-2.192,0.268,0.000
-2.201,0.261,0.000
-2.407,0.275,0.000
-2.245,0.248,0.000
-2.196,0.234,0.000
-2.402,0.246,0.000
-2.189,0.216,0.000
-2.207,0.209,0.000
-2.681,0.243,0.000
-2.200,0.191,0.000
-2.176,0.180,0.000
-2.415,0.190,0.000
-2.211,0.165,0.000
-2.203,0.156,0.000
-2.457,0.164,0.000
-2.204,0.139,0.000
-2.418,0.143,0.000
-2.197,0.121,0.000
-2.206,0.113,0.000
-2.492,0.118,0.000
-2.396,0.104,0.000
-2.207,0.087,0.000
-2.215,0.078,0.000
-2.373,0.075,0.000
-2.199,0.060,0.000
-2.208,0.052,0.000
-2.208,0.043,0.000
-2.422,0.038,0.000
-2.208,0.026,0.000
-2.200,0.017,0.000
-2.200,0.009,0.000
-2.431,-0.000,0.000
-2.217,-0.009,0.000
-2.217,-0.017,0.000
-2.225,-0.026,0.000
-2.208,-0.035,0.000
-2.208,-0.043,0.000
-2.224,-0.052,0.000
-2.199,-0.060,0.000
-2.232,-0.070,0.000
-2.207,-0.078,0.000
-2.207,-0.087,0.000
-2.206,-0.095,0.000
-2.412,-0.114,0.000
-2.189,-0.112,0.000
-2.427,-0.134,0.000
-2.213,-0.131,0.000
-2.187,-0.138,0.000
-2.401,-0.161,0.000
-2.211,-0.157,0.000
-2.359,-0.176,0.000
-2.210,-0.174,0.000
-2.226,-0.184,0.000
-2.192,-0.190,0.000
-2.233,-0.202,0.000
-2.396,-0.226,0.000
-2.189,-0.216,0.000
-2.205,-0.226,0.000
-2.369,-0.252,0.000
-2.448,-0.270,0.000
-2.186,-0.250,0.000
-2.193,-0.260,0.000
-2.159,-0.264,0.000
-2.379,-0.301,0.000
-2.198,-0.286,0.000
-2.214,-0.297,0.000
-2.408,-0.333,0.000
-2.518,-0.358,0.000
-2.292,-0.335,0.000
-2.331,-0.350,0.000
-2.426,-0.375,0.000
-2.296,-0.364,0.000
-2.196,-0.357,0.000
-2.485,-0.414,0.000
-2.308,-0.393,0.000
-2.233,-0.390,0.000
-2.174,-0.388,0.000
-2.486,-0.454,0.000
-2.277,-0.425,0.000
-2.300,-0.439,0.000
-2.354,-0.459,0.000
-2.280,-0.454,0.000
-2.334,-0.474,0.000
-2.268,-0.470,0.000
-2.266,-0.479,0.000
-2.264,-0.488,0.000
-2.271,-0.498,0.000
-2.277,-0.509,0.000
-2.472,-0.563,0.000
-2.454,-0.569,0.000
-2.286,-0.539,0.000
-2.260,-0.543,0.000
-2.258,-0.552,0.000
-2.468,-0.613,0.000
-2.246,-0.567,0.000
-2.236,-0.574,0.000
-2.484,-0.648,0.000
-2.239,-0.594,0.000
-2.425,-0.653,0.000
-2.242,-0.613,0.000
-2.496,-0.693,0.000
-2.269,-0.640,0.000
-2.219,-0.635,0.000
-2.193,-0.637,0.000
-2.222,-0.655,0.000
-2.398,-0.717,0.000
-2.225,-0.675,0.000
-2.222,-0.684,0.000
-2.188,-0.682,0.000
-2.417,-0.764,0.000
-2.214,-0.710,0.000
-2.219,-0.721,0.000
-2.408,-0.793,0.000
-2.205,-0.736,0.000
-2.194,-0.742,0.000
-2.184,-0.748,0.000
-2.165,-0.751,0.000
-2.384,-0.837,0.000
-2.182,-0.776,0.000
-2.187,-0.787,0.000
-2.382,-0.868,0.000
-2.371,-0.875,0.000
-2.178,-0.813,0.000
-2.182,-0.825,0.000
-2.148,-0.821,0.000
-2.160,-0.836,0.000
-2.195,-0.859,0.000
-2.154,-0.853,0.000
-2.353,-0.942,0.000
-2.335,-0.946,0.000
-2.144,-0.878,0.000
-2.253,-0.933,0.000
-2.091,-0.876,0.000
-2.148,-0.910,0.000
-2.061,-0.882,0.000
-2.319,-1.004,0.000
-2.122,-0.928,0.000
-2.126,-0.940,0.000
-2.300,-1.028,0.000
-2.111,-0.953,0.000
-2.107,-0.962,0.000
-2.111,-0.973,0.000
-2.040,-0.950,0.000
-2.111,-0.993,0.000
-2.239,-1.064,0.000
-2.096,-1.006,0.000
-2.092,-1.014,0.000
-2.241,-1.098,0.000
-2.084,-1.031,0.000
-2.065,-1.032,0.000
-2.127,-1.073,0.000
-2.079,-1.059,0.000
-2.052,-1.056,0.000
-2.250,-1.169,0.000
-2.044,-1.072,0.000
-2.054,-1.088,0.000
-2.243,-1.199,0.000
-2.231,-1.204,0.000
-2.034,-1.108,0.000
-2.023,-1.112,0.000
-2.004,-1.112,0.000
-2.014,-1.128,0.000
-2.009,-1.136,0.000
-2.012,-1.148,0.000
-2.190,-1.261,0.000
-2.003,-1.163,0.000
-1.998,-1.171,0.000
-2.182,-1.290,0.000
-2.170,-1.295,0.000
-1.977,-1.191,0.000
-1.973,-1.198,0.000
-2.161,-1.325,0.000
-2.115,-1.308,0.000
-2.218,-1.383,0.000
-1.961,-1.233,0.000
-1.963,-1.246,0.000
-2.155,-1.380,0.000
-1.953,-1.261,0.000
-1.927,-1.255,0.000
-1.929,-1.267,0.000
-1.938,-1.284,0.000
-2.095,-1.400,0.000
-1.921,-1.294,0.000
-1.916,-1.302,0.000
-2.071,-1.420,0.000
-2.079,-1.437,0.000
-1.907,-1.329,0.000
-1.902,-1.337,0.000
-1.897,-1.344,0.000
-1.851,-1.323,0.000
-2.063,-1.487,0.000
-1.861,-1.352,0.000
-1.862,-1.364,0.000
-1.883,-1.391,0.000
-1.845,-1.374,0.000
-1.859,-1.396,0.000
-1.853,-1.403,0.000
-1.841,-1.405,0.000
-2.022,-1.556,0.000
-2.009,-1.559,0.000
-1.818,-1.422,0.000
-1.819,-1.434,0.000
-1.833,-1.457,0.000
-1.795,-1.438,0.000
-1.802,-1.455,0.000
-1.978,-1.611,0.000
-1.929,-1.583,0.000
-1.867,-1.544,0.000
-1.867,-1.557,0.000
-1.898,-1.595,0.000
-1.854,-1.571,0.000
-1.976,-1.688,0.000
-1.749,-1.506,0.000
-1.830,-1.588,0.000
-1.830,-1.600,0.000
-1.817,-1.602,0.000
-1.972,-1.752,0.000
-1.805,-1.616,0.000
-1.804,-1.629,0.000
-1.792,-1.630,0.000
-1.791,-1.643,0.000
-1.931,-1.785,0.000
-1.924,-1.793,0.000
-1.790,-1.680,0.000
-1.771,-1.676,0.000
-1.965,-1.874,0.000
-1.740,-1.673,0.000
-1.751,-1.697,0.000
-1.876,-1.832,0.000
-1.761,-1.733,0.000
-1.714,-1.701,0.000
-1.854,-1.854,0.000
-1.706,-1.720,0.000
-1.705,-1.732,0.000
-1.838,-1.881,0.000
-1.836,-1.894,0.000
-1.690,-1.758,0.000
-1.826,-1.914,0.000
-1.925,-2.034,0.000
-1.658,-1.766,0.000
-1.662,-1.784,0.000
-1.875,-2.028,0.000
-1.708,-1.862,0.000
-1.614,-1.774,0.000
-1.709,-1.893,0.000
-1.616,-1.805,0.000
-1.915,-2.155,0.000
-1.676,-1.902,0.000
-1.658,-1.896,0.000
-1.744,-2.010,0.000
-1.659,-1.927,0.000
-1.667,-1.952,0.000
-1.644,-1.940,0.000
-1.636,-1.947,0.000
-1.629,-1.953,0.000
